40 20
########################################
#.................$........#    ########
#...s...s.......$..........######......#
#..........................w........h..#
#...............$....$.....######......#
#.....s....................#    #......#
#.....................$...#    #......#
#.$...$.........$..........#    #......#
######g.#####    ###..###       ########
    #...#          #..#
    #...#          #..#
    #...#        ###..###
  ###...###      #......#
  #..@....#      #......#
  #.......#      #......#
  #.......#      #..d...#
  #.$..k..#      #......#
  #.......#      #......#
  #.......#      #......#
  #########       ######
  ########################################
  ##############################
  ##############################
  ###########################
  ########################
  ####################
  ####################
